item_type,base_material,lining,fitting_type,nb_1,nb_2,angle,price_usd
fitting,CS,PFA,reducing_flange,80,40,,441
fitting,CS,PFA,reducing_flange,80,50,,461
fitting,CS,PFA,reducing_flange,100,25,,556.5
fitting,CS,PFA,reducing_flange,100,40,,545.5
fitting,CS,PFA,reducing_flange,100,50,,583.5
fitting,CS,PFA,reducing_flange,100,80,,599.5
fitting,CS,PFA,reducing_flange,150,25,,718
fitting,CS,PFA,reducing_flange,150,40,,729
fitting,CS,PFA,reducing_flange,150,50,,748
fitting,CS,PFA,reducing_flange,150,80,,806.5
fitting,CS,PFA,reducing_flange,150,100,,837.5
fitting,CS,PFA,reducing_flange,200,25,,985
fitting,CS,PFA,reducing_flange,200,40,,1019
fitting,CS,PFA,reducing_flange,200,50,,1056
fitting,CS,PFA,reducing_flange,200,80,,1085
fitting,CS,PFA,reducing_flange,200,100,,1242
fitting,CS,PFA,reducing_flange,200,150,,1391.5
fitting,CS,PFA,reducing_flange,250,25,,1291
fitting,CS,PFA,reducing_flange,250,40,,1335.5
fitting,CS,PFA,reducing_flange,250,50,,1334
fitting,CS,PFA,reducing_flange,250,80,,1437
fitting,CS,PFA,reducing_flange,250,100,,1508.5
fitting,CS,PFA,reducing_flange,250,150,,1714.5
fitting,CS,PFA,reducing_flange,250,200,,1833
fitting,CS,PFA,reducing_flange,300,25,,1561
fitting,CS,PFA,reducing_flange,300,40,,1632.5
fitting,CS,PFA,reducing_flange,300,50,,1681
fitting,CS,PFA,reducing_flange,300,80,,1825.5
fitting,CS,PFA,reducing_flange,300,100,,2217
fitting,CS,PFA,reducing_flange,300,150,,2121.5
fitting,CS,PFA,reducing_flange,300,200,,2309.5
fitting,CS,PFA,reducing_flange,300,250,,2525.5
fitting,CS,PFA,tee,25,25,,408
fitting,CS,PFA,tee,40,25,,477.5
fitting,CS,PFA,tee,40,40,,509.5
fitting,CS,PFA,tee,50,25,,571.5
fitting,CS,PFA,tee,50,40,,603.5
fitting,CS,PFA,tee,50,50,,657
fitting,CS,PFA,tee,80,25,,832.5
fitting,CS,PFA,tee,80,40,,876.5
fitting,CS,PFA,tee,80,50,,918.5
fitting,CS,PFA,tee,80,80,,1022.5
fitting,CS,PFA,tee,100,25,,1162.5
fitting,CS,PFA,tee,100,40,,1207
fitting,CS,PFA,tee,100,50,,1261
fitting,CS,PFA,tee,100,80,,1347.5
fitting,CS,PFA,tee,100,100,,1504
fitting,CS,PFA,tee,150,25,,2163.5
fitting,CS,PFA,tee,150,40,,2216
fitting,CS,PFA,tee,150,50,,2277.5
fitting,CS,PFA,tee,150,80,,2444
fitting,CS,PFA,tee,150,100,,2641.5
fitting,CS,PFA,tee,200,25,,3743
fitting,CS,PFA,tee,200,40,,3950
fitting,CS,PFA,tee,200,50,,4082.5
fitting,CS,PFA,tee,200,80,,4255
fitting,CS,PFA,tee,200,100,,4415
fitting,CS,PFA,tee,200,150,,4814
fitting,CS,PFA,tee,200,200,,5194
fitting,CS,PFA,tee,250,25,,6769.5
fitting,CS,PFA,tee,250,40,,6977.5
fitting,CS,PFA,tee,250,50,,7259
fitting,CS,PFA,tee,250,80,,7507.5
fitting,CS,PFA,tee,250,100,,7819.5
fitting,CS,PFA,tee,250,150,,8072.5
fitting,CS,PFA,tee,250,200,,8415.5
fitting,CS,PFA,tee,250,250,,8850.5
fitting,CS,PFA,tee,300,25,,9253
fitting,CS,PFA,tee,300,40,,9461.5
fitting,CS,PFA,tee,300,50,,9671.5
fitting,CS,PFA,tee,300,80,,9922.5
fitting,CS,PFA,tee,300,100,,10164
fitting,CS,PFA,tee,300,150,,10498.5
fitting,CS,PFA,tee,300,200,,10961.5
fitting,CS,PFA,tee,300,250,,11596
fitting,CS,PFA,tee,300,300,,12777.5
fitting,CS,PFA,cross,25,25,,464.5
fitting,CS,PFA,cross,40,25,,555
fitting,CS,PFA,cross,40,40,,595.5
fitting,CS,PFA,cross,50,25,,660
fitting,CS,PFA,cross,50,40,,708.5
fitting,CS,PFA,cross,50,50,,765
fitting,CS,PFA,cross,80,25,,971
fitting,CS,PFA,cross,80,40,,1035.5
fitting,CS,PFA,cross,80,50,,1104.5
fitting,CS,PFA,cross,80,80,,1274
fitting,CS,PFA,cross,100,25,,1352
fitting,CS,PFA,cross,100,40,,1417
fitting,CS,PFA,cross,100,50,,1487
fitting,CS,PFA,cross,100,80,,1640.5
fitting,CS,PFA,cross,100,100,,1780
fitting,CS,PFA,cross,150,25,,2537.5
fitting,CS,PFA,cross,150,40,,2642.5
fitting,CS,PFA,cross,150,50,,2720.5
fitting,CS,PFA,cross,150,80,,2976
fitting,CS,PFA,cross,150,100,,3254.5
fitting,CS,PFA,cross,200,25,,4402.5
fitting,CS,PFA,cross,200,40,,4662.5
fitting,CS,PFA,cross,200,50,,4849.5
fitting,CS,PFA,cross,200,80,,5113
fitting,CS,PFA,cross,200,100,,5395
fitting,CS,PFA,cross,200,150,,6116
fitting,CS,PFA,cross,200,200,,7290.5
fitting,CS,PFA,cross,250,25,,7723.5
fitting,CS,PFA,cross,250,40,,8139.5
fitting,CS,PFA,cross,250,50,,8559.5
fitting,CS,PFA,cross,250,80,,8478.5
fitting,CS,PFA,cross,250,100,,9152
fitting,CS,PFA,cross,250,150,,9883.5
fitting,CS,PFA,cross,250,200,,10658.5
fitting,CS,PFA,cross,250,250,,11628.5
fitting,CS,PFA,cross,300,25,,11365
fitting,CS,PFA,cross,300,40,,11396
fitting,CS,PFA,cross,300,50,,11816.5
fitting,CS,PFA,cross,300,80,,12318
fitting,CS,PFA,cross,300,100,,12801.5
fitting,CS,PFA,cross,300,150,,13470
fitting,CS,PFA,cross,300,200,,14396
fitting,CS,PFA,cross,300,250,,15280
fitting,CS,PFA,cross,300,300,,16486
fitting,CS,PFA,dwsg,25,25,,577
fitting,CS,PFA,dwsg,40,40,,661
fitting,CS,PFA,dwsg,50,50,,842.5
fitting,CS,PFA,dwsg,80,80,,1131
fitting,CS,PFA,dwsg,100,100,,1846
fitting,CS,PFA,dwsg,150,150,,3977
fitting,CS,PFA,ball_valve,25,25,,648.45
fitting,CS,PFA,ball_valve,40,40,,940.15
fitting,CS,PFA,ball_valve,50,50,,1182
fitting,CS,PFA,ball_valve,80,80,,2431.45
fitting,CS,PFA,ball_valve,100,100,,3614.15
fitting,CS,PFA,ball_valve,150,150,,6857.15
fitting,CS,PFA,instrument_tee,40,25,,398
fitting,CS,PFA,instrument_tee,40,40,,442.5
fitting,CS,PFA,instrument_tee,50,25,,460
fitting,CS,PFA,instrument_tee,50,40,,516.5
fitting,CS,PFA,instrument_tee,50,50,,562.5
fitting,CS,PFA,instrument_tee,80,25,,549.5
fitting,CS,PFA,instrument_tee,80,40,,630.5
fitting,CS,PFA,instrument_tee,80,50,,715.5
fitting,CS,PFA,instrument_tee,100,25,,740.5
fitting,CS,PFA,instrument_tee,100,40,,852.5
fitting,CS,PFA,instrument_tee,100,50,,962.5
fitting,CS,PFA,instrument_tee,150,25,,1041.5
fitting,CS,PFA,instrument_tee,150,40,,1195.5
fitting,CS,PFA,instrument_tee,150,50,,1379
fitting,CS,PFA,instrument_tee,200,25,,1659
fitting,CS,PFA,instrument_tee,200,40,,1883
fitting,CS,PFA,instrument_tee,200,50,,2131.5
fitting,CS,PFA,instrument_tee,250,25,,2127
fitting,CS,PFA,instrument_tee,250,40,,2451.5
fitting,CS,PFA,instrument_tee,250,50,,2781
fitting,CS,PFA,instrument_tee,300,25,,2786.5
fitting,CS,PFA,instrument_tee,300,40,,3253
fitting,CS,PFA,instrument_tee,300,50,,3731.5
fitting,CS,PFA,ball_check_valve,25,25,,606.45
fitting,CS,PFA,ball_check_valve,40,40,,902.85
fitting,CS,PFA,ball_check_valve,50,50,,1292.85
fitting,CS,PFA,ball_check_valve,80,80,,2303.55
fitting,CS,PFA,ball_check_valve,100,100,,3815
fitting,CS,PFA,strainer_bucket,25,25,,1257
fitting,CS,PFA,strainer_bucket,40,40,,1639.5
fitting,CS,PFA,strainer_bucket,50,50,,2044
fitting,CS,PFA,strainer_bucket,80,80,,2920.5
fitting,CS,PFA,strainer_bucket,100,100,,4677
fitting,CS,PFA,strainer_y,25,25,,200
fitting,CS,PFA,strainer_y,40,40,,200
fitting,CS,PFA,strainer_y,50,50,,3128.55
fitting,CS,PFA,strainer_y,80,80,,3700
fitting,CS,PFA,strainer_y,100,100,,4414.3
fitting,CS,PFA,swing_check_valve,25,25,,469.3
fitting,CS,PFA,swing_check_valve,40,40,,557.15
fitting,CS,PFA,swing_check_valve,50,50,,627.15
fitting,CS,PFA,swing_check_valve,80,80,,859.3
fitting,CS,PFA,swing_check_valve,100,100,,1070.7
fitting,CS,PFA,swing_check_valve,150,150,,1926.45
fitting,CS,PFA,flush_bottom_valve,80,50,,1985.7
fitting,CS,PFA,flush_bottom_valve,100,80,,2557.15
fitting,CS,PFA,flush_bottom_valve,150,100,,3700
fitting,CS,PFA,butterfly_valve,25,25,,582.85
fitting,CS,PFA,butterfly_valve,40,40,,625.7
fitting,CS,PFA,butterfly_valve,50,50,,684.3
fitting,CS,PFA,butterfly_valve,80,80,,872.85
fitting,CS,PFA,butterfly_valve,100,100,,1210
fitting,CS,PFA,butterfly_valve,150,150,,1768.55
fitting,SS304,PTFE,bend,25,25,90,1510.5
fitting,SS304,PTFE,bend,40,40,90,1711.9
fitting,SS304,PTFE,bend,50,50,90,1921.25
fitting,SS304,PTFE,bend,80,80,90,2748.05
fitting,SS304,PTFE,bend,100,100,90,3672.9
fitting,SS304,PTFE,bend,150,150,90,7775.1
fitting,SS304,PTFE,bend,200,200,90,16787.75
fitting,SS304,PTFE,bend,250,250,90,24785.45
fitting,SS304,PTFE,bend,300,300,90,39800.35
fitting,SS304,PTFE,bend,25,25,45,1497.25
fitting,SS304,PTFE,bend,40,40,45,1688.05
fitting,SS304,PTFE,bend,50,50,45,1889.45
fitting,SS304,PTFE,bend,80,80,45,2681.8
fitting,SS304,PTFE,bend,100,100,45,3588.1
fitting,SS304,PTFE,bend,150,150,45,7401.45
fitting,SS304,PTFE,bend,200,200,45,15041.4
fitting,SS304,PTFE,bend,250,250,45,22739.65
fitting,SS304,PTFE,bend,300,300,45,36593.85
fitting,SS304,PTFE,concentric_reducer,40,25,,1791.4
fitting,SS304,PTFE,concentric_reducer,50,40,,2027.25
fitting,SS304,PTFE,concentric_reducer,80,50,,2618.2
fitting,SS304,PTFE,concentric_reducer,100,80,,3593.4
fitting,SS304,PTFE,concentric_reducer,150,100,,6656.8
fitting,SS304,PTFE,concentric_reducer,200,150,,13827.7
fitting,SS304,PTFE,concentric_reducer,250,200,,22448.15
fitting,SS304,PTFE,concentric_reducer,300,250,,35268.85
fitting,SS304,PTFE,fvsg,25,25,,1621.8
fitting,SS304,PTFE,fvsg,40,40,,1857.65
fitting,SS304,PTFE,fvsg,50,50,,2093.5
fitting,SS304,PTFE,fvsg,80,80,,2883.2
fitting,SS304,PTFE,fvsg,100,100,,3495.35
fitting,SS304,PTFE,fvsg,150,150,,6632.95
fitting,SS304,PTFE,blind,25,25,,1205.75
fitting,SS304,PTFE,blind,40,40,,1277.3
fitting,SS304,PTFE,blind,50,50,,1396.55
fitting,SS304,PTFE,blind,80,80,,1650.95
fitting,SS304,PTFE,blind,100,100,,1884.15
fitting,SS304,PTFE,blind,150,150,,2491
fitting,SS304,PTFE,blind,200,200,,3421.15
fitting,SS304,PTFE,blind,250,250,,4542.1
fitting,SS304,PTFE,blind,300,300,,6004.9
fitting,SS304,PTFE,hp_bellow,25,70,,1976.9
fitting,SS304,PTFE,hp_bellow,25,100,,2040.5
fitting,SS304,PTFE,hp_bellow,25,150,,2143.85
fitting,SS304,PTFE,hp_bellow,40,70,,2363.8
fitting,SS304,PTFE,hp_bellow,40,100,,2472.45
fitting,SS304,PTFE,hp_bellow,40,150,,2655.3
fitting,SS304,PTFE,hp_bellow,50,70,,2869.95
fitting,SS304,PTFE,hp_bellow,50,100,,3055.45
fitting,SS304,PTFE,hp_bellow,50,150,,3365.5
fitting,SS304,PTFE,hp_bellow,80,100,,3662.3
fitting,SS304,PTFE,hp_bellow,80,150,,4120.75
fitting,SS304,PTFE,hp_bellow,80,200,,4584.5
fitting,SS304,PTFE,hp_bellow,100,100,,4547.4
fitting,SS304,PTFE,hp_bellow,100,150,,5276.15
fitting,SS304,PTFE,hp_bellow,100,200,,6004.9
fitting,SS304,PTFE,hp_bellow,150,100,,6497.8
fitting,SS304,PTFE,hp_bellow,150,150,,7730.05
fitting,SS304,PTFE,hp_bellow,150,200,,8962.3
fitting,SS304,PTFE,hp_bellow,200,100,,9823.55
fitting,SS304,PTFE,hp_bellow,200,150,,12158.2
fitting,SS304,PTFE,hp_bellow,200,200,,14490.2
fitting,SS304,PTFE,hp_bellow,250,100,,13840.95
fitting,SS304,PTFE,hp_bellow,250,150,,16488.3
fitting,SS304,PTFE,hp_bellow,250,200,,19209.85
fitting,SS304,PTFE,hp_bellow,300,100,,18875.95
fitting,SS304,PTFE,hp_bellow,300,150,,22485.25
fitting,SS304,PTFE,hp_bellow,300,200,,26433.75
fitting,SS304,PFA,concentric_reducer,40,25,,2554.6
fitting,SS304,PFA,concentric_reducer,50,25,,2962.7
fitting,SS304,PFA,concentric_reducer,50,40,,3227.7
fitting,SS304,PFA,concentric_reducer,80,25,,4035.95
fitting,SS304,PFA,concentric_reducer,80,40,,4245.3
fitting,SS304,PFA,concentric_reducer,80,50,,4958.15
fitting,SS304,PFA,concentric_reducer,100,25,,4905.15
fitting,SS304,PFA,concentric_reducer,100,40,,5315.9
fitting,SS304,PFA,concentric_reducer,100,50,,5869.75
fitting,SS304,PFA,concentric_reducer,100,80,,6654.15
fitting,SS304,PFA,concentric_reducer,150,25,,8344.85
fitting,SS304,PFA,concentric_reducer,150,40,,8798
fitting,SS304,PFA,concentric_reducer,150,50,,8858.95
fitting,SS304,PFA,concentric_reducer,150,80,,10024.95
fitting,SS304,PFA,concentric_reducer,150,100,,11705.05
fitting,SS304,PFA,reducing_flange,40,25,,1674.8
fitting,SS304,PFA,reducing_flange,50,25,,1836.45
fitting,SS304,PFA,reducing_flange,50,40,,1894.75
fitting,SS304,PFA,reducing_flange,80,25,,2302.85
fitting,SS304,PFA,reducing_flange,80,40,,2337.3
fitting,SS304,PFA,reducing_flange,80,50,,2443.3
fitting,SS304,PFA,reducing_flange,100,25,,2949.45
fitting,SS304,PFA,reducing_flange,100,40,,2891.15
fitting,SS304,PFA,reducing_flange,100,50,,3092.55
fitting,SS304,PFA,reducing_flange,100,80,,3177.35
fitting,SS304,PFA,reducing_flange,150,25,,3805.4
fitting,SS304,PFA,reducing_flange,150,40,,3863.7
fitting,SS304,PFA,reducing_flange,150,50,,3964.4
fitting,SS304,PFA,reducing_flange,150,80,,4274.45
fitting,SS304,PFA,reducing_flange,150,100,,4438.75
fitting,SS304,PFA,reducing_flange,200,25,,5220.5
fitting,SS304,PFA,reducing_flange,200,40,,5400.7
fitting,SS304,PFA,reducing_flange,200,50,,5596.8
fitting,SS304,PFA,reducing_flange,200,80,,5750.5
fitting,SS304,PFA,reducing_flange,200,100,,6582.6
fitting,SS304,PFA,reducing_flange,200,150,,7374.95
fitting,SS304,PFA,reducing_flange,250,25,,6842.3
fitting,SS304,PFA,reducing_flange,250,40,,7078.15
fitting,SS304,PFA,reducing_flange,250,50,,7070.2
fitting,SS304,PFA,reducing_flange,250,80,,7616.1
fitting,SS304,PFA,reducing_flange,250,100,,7995.05
fitting,SS304,PFA,reducing_flange,250,150,,9086.85
fitting,SS304,PFA,reducing_flange,250,200,,9714.9
fitting,SS304,PFA,reducing_flange,300,25,,8273.3
fitting,SS304,PFA,reducing_flange,300,40,,8652.25
fitting,SS304,PFA,reducing_flange,300,50,,8909.3
fitting,SS304,PFA,reducing_flange,300,80,,9675.15
fitting,SS304,PFA,reducing_flange,300,100,,11750.1
fitting,SS304,PFA,reducing_flange,300,150,,11243.95
fitting,SS304,PFA,reducing_flange,300,200,,12240.35
fitting,SS304,PFA,reducing_flange,300,250,,13385.15
fitting,SS304,PFA,tee,25,25,,2162.4
fitting,SS304,PFA,tee,40,25,,2530.75
fitting,SS304,PFA,tee,40,40,,2700.35
fitting,SS304,PFA,tee,50,25,,3028.95
fitting,SS304,PFA,tee,50,40,,3198.55
fitting,SS304,PFA,tee,50,50,,3482.1
fitting,SS304,PFA,tee,80,25,,4412.25
fitting,SS304,PFA,tee,80,40,,4645.45
fitting,SS304,PFA,tee,80,50,,4868.05
fitting,SS304,PFA,tee,80,80,,5419.25
fitting,SS304,PFA,tee,100,25,,6161.25
fitting,SS304,PFA,tee,100,40,,6397.1
fitting,SS304,PFA,tee,100,50,,6683.3
fitting,SS304,PFA,tee,100,80,,7141.75
fitting,SS304,PFA,tee,100,100,,7971.2
fitting,SS304,PFA,tee,150,25,,11466.55
fitting,SS304,PFA,tee,150,40,,11744.8
fitting,SS304,PFA,tee,150,50,,12070.75
fitting,SS304,PFA,tee,150,80,,12953.2
fitting,SS304,PFA,tee,150,100,,13999.95
fitting,SS304,PFA,tee,200,25,,19837.9
fitting,SS304,PFA,tee,200,40,,20935
fitting,SS304,PFA,tee,200,50,,21637.25
fitting,SS304,PFA,tee,200,80,,22551.5
fitting,SS304,PFA,tee,200,100,,23399.5
fitting,SS304,PFA,tee,200,150,,25514.2
fitting,SS304,PFA,tee,200,200,,27528.2
fitting,SS304,PFA,tee,250,25,,35878.35
fitting,SS304,PFA,tee,250,40,,36980.75
fitting,SS304,PFA,tee,250,50,,38472.7
fitting,SS304,PFA,tee,250,80,,39789.75
fitting,SS304,PFA,tee,250,100,,41443.35
fitting,SS304,PFA,tee,250,150,,42784.25
fitting,SS304,PFA,tee,250,200,,44602.15
fitting,SS304,PFA,tee,250,250,,46907.65
fitting,SS304,PFA,tee,300,25,,49040.9
fitting,SS304,PFA,tee,300,40,,50145.95
fitting,SS304,PFA,tee,300,50,,51258.95
fitting,SS304,PFA,tee,300,80,,52589.25
fitting,SS304,PFA,tee,300,100,,53869.2
fitting,SS304,PFA,tee,300,150,,55642.05
fitting,SS304,PFA,tee,300,200,,58095.95
fitting,SS304,PFA,tee,300,250,,61458.8
fitting,SS304,PFA,tee,300,300,,67720.75
fitting,SS304,PFA,cross,25,25,,2461.85
fitting,SS304,PFA,cross,40,25,,2941.5
fitting,SS304,PFA,cross,40,40,,3156.15
fitting,SS304,PFA,cross,50,25,,3498
fitting,SS304,PFA,cross,50,40,,3755.05
fitting,SS304,PFA,cross,50,50,,4054.5
fitting,SS304,PFA,cross,80,25,,5146.3
fitting,SS304,PFA,cross,80,40,,5488.15
fitting,SS304,PFA,cross,80,50,,5853.85
fitting,SS304,PFA,cross,80,80,,6752.2
fitting,SS304,PFA,cross,100,25,,7165.6
fitting,SS304,PFA,cross,100,40,,7510.1
fitting,SS304,PFA,cross,100,50,,7881.1
fitting,SS304,PFA,cross,100,80,,8694.65
fitting,SS304,PFA,cross,100,100,,9434
fitting,SS304,PFA,cross,150,25,,13448.75
fitting,SS304,PFA,cross,150,40,,14005.25
fitting,SS304,PFA,cross,150,50,,14418.65
fitting,SS304,PFA,cross,150,80,,15772.8
fitting,SS304,PFA,cross,150,100,,17248.85
fitting,SS304,PFA,cross,200,25,,23333.25
fitting,SS304,PFA,cross,200,40,,24711.25
fitting,SS304,PFA,cross,200,50,,25702.35
fitting,SS304,PFA,cross,200,80,,27098.9
fitting,SS304,PFA,cross,200,100,,28593.5
fitting,SS304,PFA,cross,200,150,,32414.8
fitting,SS304,PFA,cross,200,200,,38639.65
fitting,SS304,PFA,cross,250,25,,40934.55
fitting,SS304,PFA,cross,250,40,,43139.35
fitting,SS304,PFA,cross,250,50,,45365.35
fitting,SS304,PFA,cross,250,80,,44936.05
fitting,SS304,PFA,cross,250,100,,48505.6
fitting,SS304,PFA,cross,250,150,,52382.55
fitting,SS304,PFA,cross,250,200,,56490.05
fitting,SS304,PFA,cross,250,250,,61631.05
fitting,SS304,PFA,cross,300,25,,60234.5
fitting,SS304,PFA,cross,300,40,,60398.8
fitting,SS304,PFA,cross,300,50,,62627.45
fitting,SS304,PFA,cross,300,80,,65285.4
fitting,SS304,PFA,cross,300,100,,67847.95
fitting,SS304,PFA,cross,300,150,,71391
fitting,SS304,PFA,cross,300,200,,76298.8
fitting,SS304,PFA,cross,300,250,,80984
fitting,SS304,PFA,cross,300,300,,87375.8
fitting,SS304,PFA,dwsg,25,25,,3058.1
fitting,SS304,PFA,dwsg,40,40,,3503.3
fitting,SS304,PFA,dwsg,50,50,,4465.25
fitting,SS304,PFA,dwsg,80,80,,5994.3
fitting,SS304,PFA,dwsg,100,100,,9783.8
fitting,SS304,PFA,dwsg,150,150,,21078.1
fitting,SS304,PFA,ball_valve,25,25,,3436.785
fitting,SS304,PFA,ball_valve,40,40,,4982.795
fitting,SS304,PFA,ball_valve,50,50,,6264.6
fitting,SS304,PFA,ball_valve,80,80,,12886.685
fitting,SS304,PFA,ball_valve,100,100,,19154.995
fitting,SS304,PFA,ball_valve,150,150,,36342.895
fitting,SS304,PFA,instrument_tee,40,25,,2109.4
fitting,SS304,PFA,instrument_tee,40,40,,2345.25
fitting,SS304,PFA,instrument_tee,50,25,,2438
fitting,SS304,PFA,instrument_tee,50,40,,2737.45
fitting,SS304,PFA,instrument_tee,50,50,,2981.25
fitting,SS304,PFA,instrument_tee,80,25,,2912.35
fitting,SS304,PFA,instrument_tee,80,40,,3341.65
fitting,SS304,PFA,instrument_tee,80,50,,3792.15
fitting,SS304,PFA,instrument_tee,100,25,,3924.65
fitting,SS304,PFA,instrument_tee,100,40,,4518.25
fitting,SS304,PFA,instrument_tee,100,50,,5101.25
fitting,SS304,PFA,instrument_tee,150,25,,5519.95
fitting,SS304,PFA,instrument_tee,150,40,,6336.15
fitting,SS304,PFA,instrument_tee,150,50,,7308.7
fitting,SS304,PFA,instrument_tee,200,25,,8792.7
fitting,SS304,PFA,instrument_tee,200,40,,9979.9
fitting,SS304,PFA,instrument_tee,200,50,,11296.95
fitting,SS304,PFA,instrument_tee,250,25,,11273.1
fitting,SS304,PFA,instrument_tee,250,40,,12992.95
fitting,SS304,PFA,instrument_tee,250,50,,14739.3
fitting,SS304,PFA,instrument_tee,300,25,,14768.45
fitting,SS304,PFA,instrument_tee,300,40,,17240.9
fitting,SS304,PFA,instrument_tee,300,50,,19776.95
fitting,SS304,PFA,ball_check_valve,25,25,,3214.185
fitting,SS304,PFA,ball_check_valve,40,40,,4785.105
fitting,SS304,PFA,ball_check_valve,50,50,,6852.105
fitting,SS304,PFA,ball_check_valve,80,80,,12208.815
fitting,SS304,PFA,ball_check_valve,100,100,,20219.5
fitting,SS304,PFA,strainer_bucket,25,25,,6662.1
fitting,SS304,PFA,strainer_bucket,40,40,,8689.35
fitting,SS304,PFA,strainer_bucket,50,50,,10833.2
fitting,SS304,PFA,strainer_bucket,80,80,,15478.65
fitting,SS304,PFA,strainer_bucket,100,100,,24788.1
fitting,SS304,PFA,strainer_y,25,25,,1060
fitting,SS304,PFA,strainer_y,40,40,,1060
fitting,SS304,PFA,strainer_y,50,50,,16581.315
