item_type,base_material,lining,condition,nb,length_mm,price_usd
pipe,CS,PTFE,non_vacuum,50,1500,605.625
pipe,CS,PTFE,non_vacuum,50,1600,632.5
pipe,CS,PTFE,non_vacuum,50,1700,659.375
pipe,CS,PTFE,non_vacuum,50,1800,686.25
pipe,CS,PTFE,non_vacuum,50,1900,713.125
pipe,CS,PTFE,non_vacuum,50,2000,740
pipe,CS,PTFE,non_vacuum,50,2100,766.875
pipe,CS,PTFE,non_vacuum,50,2200,793.75
pipe,CS,PTFE,non_vacuum,50,2300,821.25
pipe,CS,PTFE,non_vacuum,50,2400,848.125
pipe,CS,PTFE,non_vacuum,50,2500,875
pipe,CS,PTFE,non_vacuum,50,2600,901.875
pipe,CS,PTFE,non_vacuum,50,2700,928.75
pipe,CS,PTFE,non_vacuum,50,2800,955.625
pipe,CS,PTFE,non_vacuum,50,2900,982.5
pipe,CS,PTFE,non_vacuum,50,3000,1009.375
pipe,CS,PTFE,non_vacuum,80,100,383.75
pipe,CS,PTFE,non_vacuum,80,150,407.5
pipe,CS,PTFE,non_vacuum,80,200,431.875
pipe,CS,PTFE,non_vacuum,80,250,455.625
pipe,CS,PTFE,non_vacuum,80,300,479.375
pipe,CS,PTFE,non_vacuum,80,350,503.125
pipe,CS,PTFE,non_vacuum,80,400,526.875
pipe,CS,PTFE,non_vacuum,80,450,550.625
pipe,CS,PTFE,non_vacuum,80,500,574.375
pipe,CS,PTFE,non_vacuum,80,600,622.5
pipe,CS,PTFE,non_vacuum,80,700,670
pipe,CS,PTFE,non_vacuum,80,800,717.5
pipe,CS,PTFE,non_vacuum,80,900,765
pipe,CS,PTFE,non_vacuum,80,1000,813.125
pipe,CS,PTFE,non_vacuum,80,1100,860.625
pipe,CS,PTFE,non_vacuum,80,1200,908.125
pipe,CS,PTFE,non_vacuum,80,1300,955.625
pipe,CS,PTFE,non_vacuum,80,1400,1003.75
pipe,CS,PTFE,non_vacuum,80,1500,1051.25
pipe,CS,PTFE,non_vacuum,80,1600,1098.75
pipe,CS,PTFE,non_vacuum,80,1700,1146.875
pipe,CS,PTFE,non_vacuum,80,1800,1194.375
pipe,CS,PTFE,non_vacuum,80,1900,1241.875
pipe,CS,PTFE,non_vacuum,80,2000,1289.375
pipe,CS,PTFE,non_vacuum,80,2100,1337.5
pipe,CS,PTFE,non_vacuum,80,2200,1385
pipe,CS,PTFE,non_vacuum,80,2300,1432.5
pipe,CS,PTFE,non_vacuum,80,2400,1480
pipe,CS,PTFE,non_vacuum,80,2500,1528.125
pipe,CS,PTFE,non_vacuum,80,2600,1575.625
pipe,CS,PTFE,non_vacuum,80,2700,1623.125
pipe,CS,PTFE,non_vacuum,80,2800,1670.625
pipe,CS,PTFE,non_vacuum,80,2900,1718.75
pipe,CS,PTFE,non_vacuum,80,3000,1766.25
pipe,CS,PTFE,non_vacuum,100,100,510.625
pipe,CS,PTFE,non_vacuum,100,150,543.125
pipe,CS,PTFE,non_vacuum,100,200,575.625
pipe,CS,PTFE,non_vacuum,100,250,608.125
pipe,CS,PTFE,non_vacuum,100,300,640.625
pipe,CS,PTFE,non_vacuum,100,350,673.125
pipe,CS,PTFE,non_vacuum,100,400,705.625
pipe,CS,PTFE,non_vacuum,100,450,738.125
pipe,CS,PTFE,non_vacuum,100,500,770.625
pipe,CS,PTFE,non_vacuum,100,600,835.625
pipe,CS,PTFE,non_vacuum,100,700,900.625
pipe,CS,PTFE,non_vacuum,100,800,965
pipe,CS,PTFE,non_vacuum,100,900,1030
pipe,CS,PTFE,non_vacuum,100,1000,1095
pipe,CS,PTFE,non_vacuum,100,1100,1160
pipe,CS,PTFE,non_vacuum,100,1200,1225
pipe,CS,PTFE,non_vacuum,100,1300,1290
pipe,CS,PTFE,non_vacuum,100,1400,1355
pipe,CS,PTFE,non_vacuum,100,1500,1419.375
pipe,CS,PTFE,non_vacuum,100,1600,1484.375
pipe,CS,PTFE,non_vacuum,100,1700,1549.375
pipe,CS,PTFE,non_vacuum,100,1800,1614.375
pipe,CS,PTFE,non_vacuum,100,1900,1679.375
pipe,CS,PTFE,non_vacuum,100,2000,1744.375
pipe,CS,PTFE,non_vacuum,100,2100,1809.375
pipe,CS,PTFE,non_vacuum,100,2200,1873.75
pipe,CS,PTFE,non_vacuum,100,2300,1938.75
pipe,CS,PTFE,non_vacuum,100,2400,2003.75
pipe,CS,PTFE,non_vacuum,100,2500,2068.75
pipe,CS,PTFE,non_vacuum,100,2600,2133.75
pipe,CS,PTFE,non_vacuum,100,2700,2198.75
pipe,CS,PTFE,non_vacuum,100,2800,2263.75
pipe,CS,PTFE,non_vacuum,100,2900,2328.75
pipe,CS,PTFE,non_vacuum,100,3000,2393.125
pipe,CS,PTFE,non_vacuum,150,100,1067.5
pipe,CS,PTFE,non_vacuum,150,150,1150.625
pipe,CS,PTFE,non_vacuum,150,200,1233.125
pipe,CS,PTFE,non_vacuum,150,250,1315.625
pipe,CS,PTFE,non_vacuum,150,300,1398.75
pipe,CS,PTFE,non_vacuum,150,350,1481.25
pipe,CS,PTFE,non_vacuum,150,400,1564.375
pipe,CS,PTFE,non_vacuum,150,450,1646.875
pipe,CS,PTFE,non_vacuum,150,500,1730
pipe,CS,PTFE,non_vacuum,150,600,1895
pipe,CS,PTFE,non_vacuum,150,700,2060.625
pipe,CS,PTFE,non_vacuum,150,800,2226.25
pipe,CS,PTFE,non_vacuum,150,900,2391.875
pipe,CS,PTFE,non_vacuum,150,1000,2557.5
pipe,CS,PTFE,non_vacuum,150,1100,2723.125
pipe,CS,PTFE,non_vacuum,150,1200,2888.75
pipe,CS,PTFE,non_vacuum,150,1300,3053.75
pipe,CS,PTFE,non_vacuum,150,1400,3219.375
pipe,CS,PTFE,non_vacuum,150,1500,3385
pipe,CS,PTFE,non_vacuum,150,1600,3550.625
pipe,CS,PTFE,non_vacuum,150,1700,3716.25
pipe,CS,PTFE,non_vacuum,150,1800,3881.875
pipe,CS,PTFE,non_vacuum,150,1900,4047.5
pipe,CS,PTFE,non_vacuum,150,2000,4212.5
pipe,CS,PTFE,non_vacuum,150,2100,4378.125
pipe,CS,PTFE,non_vacuum,150,2200,4543.75
pipe,CS,PTFE,non_vacuum,150,2300,4709.375
pipe,CS,PTFE,non_vacuum,150,2400,4875
pipe,CS,PTFE,non_vacuum,150,2500,5040.625
pipe,CS,PTFE,non_vacuum,150,2600,5206.25
pipe,CS,PTFE,non_vacuum,150,2700,5371.25
pipe,CS,PTFE,non_vacuum,150,2800,5536.875
pipe,CS,PTFE,non_vacuum,150,2900,5702.5
pipe,CS,PTFE,non_vacuum,150,3000,5868.125
pipe,CS,PTFE,non_vacuum,200,100,1841.25
pipe,CS,PTFE,non_vacuum,200,150,1998.75
pipe,CS,PTFE,non_vacuum,200,200,2155.625
pipe,CS,PTFE,non_vacuum,200,250,2313.125
pipe,CS,PTFE,non_vacuum,200,300,2470
pipe,CS,PTFE,non_vacuum,200,350,2627.5
pipe,CS,PTFE,non_vacuum,200,400,2784.375
pipe,CS,PTFE,non_vacuum,200,450,2941.875
pipe,CS,PTFE,non_vacuum,200,500,3098.75
pipe,CS,PTFE,non_vacuum,200,600,3413.125
pipe,CS,PTFE,non_vacuum,200,700,3726.875
pipe,CS,PTFE,non_vacuum,200,800,4041.25
pipe,CS,PTFE,non_vacuum,200,900,4355.625
pipe,CS,PTFE,non_vacuum,200,1000,4670
pipe,CS,PTFE,non_vacuum,200,1100,4984.375
pipe,CS,PTFE,non_vacuum,200,1200,5298.75
pipe,CS,PTFE,non_vacuum,200,1300,5613.125
pipe,CS,PTFE,non_vacuum,200,1400,5926.875
pipe,CS,PTFE,non_vacuum,200,1500,6241.25
pipe,CS,PTFE,non_vacuum,200,1600,6555.625
pipe,CS,PTFE,non_vacuum,200,1700,6870
pipe,CS,PTFE,non_vacuum,200,1800,7184.375
pipe,CS,PTFE,non_vacuum,200,1900,7498.75
pipe,CS,PTFE,non_vacuum,200,2000,7812.5
pipe,CS,PTFE,non_vacuum,200,2100,8126.875
pipe,CS,PTFE,non_vacuum,200,2200,8441.25
pipe,CS,PTFE,non_vacuum,200,2300,8755.625
pipe,CS,PTFE,non_vacuum,200,2400,9070
pipe,CS,PTFE,non_vacuum,200,2500,9384.375
pipe,CS,PTFE,non_vacuum,200,2600,9698.125
pipe,CS,PTFE,non_vacuum,200,2700,10012.5
pipe,CS,PTFE,non_vacuum,200,2800,10326.875
pipe,CS,PTFE,non_vacuum,200,2900,10641.25
pipe,CS,PTFE,non_vacuum,200,3000,10955.625
pipe,CS,PTFE,non_vacuum,250,100,2604.375
pipe,CS,PTFE,non_vacuum,250,150,2821.25
pipe,CS,PTFE,non_vacuum,250,200,3038.125
pipe,CS,PTFE,non_vacuum,250,250,3255
pipe,CS,PTFE,non_vacuum,250,300,3471.25
pipe,CS,PTFE,non_vacuum,250,350,3688.75
pipe,CS,PTFE,non_vacuum,250,400,3905
pipe,CS,PTFE,non_vacuum,250,450,4121.875
pipe,CS,PTFE,non_vacuum,250,500,4338.75
pipe,CS,PTFE,non_vacuum,250,600,4772.5
pipe,CS,PTFE,non_vacuum,250,700,5206.25
pipe,CS,PTFE,non_vacuum,250,800,5640
pipe,CS,PTFE,non_vacuum,250,900,6073.75
pipe,CS,PTFE,non_vacuum,250,1000,6507.5
pipe,CS,PTFE,non_vacuum,250,1100,6940.625
pipe,CS,PTFE,non_vacuum,250,1200,7374.375
pipe,CS,PTFE,non_vacuum,250,1300,7808.125
pipe,CS,PTFE,non_vacuum,250,1400,8241.875
pipe,CS,PTFE,non_vacuum,250,1500,8675.625
pipe,CS,PTFE,non_vacuum,250,1600,9109.375
pipe,CS,PTFE,non_vacuum,250,1700,9543.125
pipe,CS,PTFE,non_vacuum,250,1800,9976.875
pipe,CS,PTFE,non_vacuum,250,1900,10410
pipe,CS,PTFE,non_vacuum,250,2000,10843.75
pipe,CS,PTFE,non_vacuum,250,2100,11277.5
pipe,CS,PTFE,non_vacuum,250,2200,11711.25
pipe,CS,PTFE,non_vacuum,250,2300,12145
pipe,CS,PTFE,non_vacuum,250,2400,12578.75
pipe,CS,PTFE,non_vacuum,250,2500,13012.5
pipe,CS,PTFE,non_vacuum,250,2600,13446.25
pipe,CS,PTFE,non_vacuum,250,2700,13879.375
pipe,CS,PTFE,non_vacuum,250,2800,14313.125
pipe,CS,PTFE,non_vacuum,250,2900,14746.875
pipe,CS,PTFE,non_vacuum,250,3000,15180.625
pipe,CS,PTFE,non_vacuum,300,100,3200.625
pipe,CS,PTFE,non_vacuum,300,150,3433.75
pipe,CS,PTFE,non_vacuum,300,200,3666.25
pipe,CS,PTFE,non_vacuum,300,250,3899.375
pipe,CS,PTFE,non_vacuum,300,300,4132.5
pipe,CS,PTFE,non_vacuum,300,350,4365.625
pipe,CS,PTFE,non_vacuum,300,400,4598.125
pipe,CS,PTFE,non_vacuum,300,450,4831.875
pipe,CS,PTFE,non_vacuum,300,500,5064.375
pipe,CS,PTFE,non_vacuum,300,600,5530.625
pipe,CS,PTFE,non_vacuum,300,700,5996.25
pipe,CS,PTFE,non_vacuum,300,800,6462.5
pipe,CS,PTFE,non_vacuum,300,900,6928.125
pipe,CS,PTFE,non_vacuum,300,1000,7394.375
pipe,CS,PTFE,non_vacuum,300,1100,7860.625
pipe,CS,PTFE,non_vacuum,300,1200,8326.25
pipe,CS,PTFE,non_vacuum,300,1300,8792.5
pipe,CS,PTFE,non_vacuum,300,1400,9258.125
pipe,CS,PTFE,non_vacuum,300,1500,9724.375
pipe,CS,PTFE,non_vacuum,300,1600,10190.625
pipe,CS,PTFE,non_vacuum,300,1700,10656.25
pipe,CS,PTFE,non_vacuum,300,1800,11122.5
pipe,CS,PTFE,non_vacuum,300,1900,11588.125
pipe,CS,PTFE,non_vacuum,300,2000,12054.375
pipe,CS,PTFE,non_vacuum,300,2100,12520
pipe,CS,PTFE,non_vacuum,300,2200,12986.25
pipe,CS,PTFE,non_vacuum,300,2300,13452.5
pipe,CS,PTFE,non_vacuum,300,2400,13918.125
pipe,CS,PTFE,non_vacuum,300,2500,14384.375
pipe,CS,PTFE,non_vacuum,300,2600,14850
pipe,CS,PTFE,non_vacuum,300,2700,15316.25
pipe,CS,PTFE,non_vacuum,300,2800,15782.5
pipe,CS,PTFE,non_vacuum,300,2900,16248.125
pipe,CS,PTFE,non_vacuum,300,3000,16714.375
pipe,CS,PTFE,full_vacuum,100,100,541.25
pipe,CS,PTFE,full_vacuum,100,150,578.75
pipe,CS,PTFE,full_vacuum,100,200,616.25
pipe,CS,PTFE,full_vacuum,100,250,653.75
pipe,CS,PTFE,full_vacuum,100,300,691.25
pipe,CS,PTFE,full_vacuum,100,350,728.75
pipe,CS,PTFE,full_vacuum,100,400,766.25
pipe,CS,PTFE,full_vacuum,100,450,803.75
pipe,CS,PTFE,full_vacuum,100,500,841.25
pipe,CS,PTFE,full_vacuum,100,600,916.25
pipe,CS,PTFE,full_vacuum,100,700,990.625
pipe,CS,PTFE,full_vacuum,100,800,1065.625
pipe,CS,PTFE,full_vacuum,100,900,1140.625
pipe,CS,PTFE,full_vacuum,100,1000,1215.625
pipe,CS,PTFE,full_vacuum,100,1100,1290.625
pipe,CS,PTFE,full_vacuum,100,1200,1365.625
pipe,CS,PTFE,full_vacuum,100,1300,1440.625
pipe,CS,PTFE,full_vacuum,100,1400,1515.625
pipe,CS,PTFE,full_vacuum,100,1500,1590.625
pipe,CS,PTFE,full_vacuum,100,1600,1665.625
pipe,CS,PTFE,full_vacuum,100,1700,1740.625
pipe,CS,PTFE,full_vacuum,100,1800,1815.625
pipe,CS,PTFE,full_vacuum,100,1900,1890.625
pipe,CS,PTFE,full_vacuum,100,2000,1965.625
pipe,CS,PTFE,full_vacuum,100,2100,2040.625
pipe,CS,PTFE,full_vacuum,100,2200,2115.625
pipe,CS,PTFE,full_vacuum,100,2300,2190.625
pipe,CS,PTFE,full_vacuum,100,2400,2265.625
pipe,CS,PTFE,full_vacuum,100,2500,2340.625
pipe,CS,PTFE,full_vacuum,100,2600,2415.625
pipe,CS,PTFE,full_vacuum,100,2700,2490.625
pipe,CS,PTFE,full_vacuum,100,2800,2565.625
pipe,CS,PTFE,full_vacuum,100,2900,2640.625
pipe,CS,PTFE,full_vacuum,100,3000,2715.625
pipe,CS,PTFE,full_vacuum,150,100,1165
pipe,CS,PTFE,full_vacuum,150,150,1262.5
pipe,CS,PTFE,full_vacuum,150,200,1360
pipe,CS,PTFE,full_vacuum,150,250,1457.5
pipe,CS,PTFE,full_vacuum,150,300,1555
pipe,CS,PTFE,full_vacuum,150,350,1652.5
pipe,CS,PTFE,full_vacuum,150,400,1750
pipe,CS,PTFE,full_vacuum,150,450,1847.5
pipe,CS,PTFE,full_vacuum,150,500,1945
pipe,CS,PTFE,full_vacuum,150,600,2140
pipe,CS,PTFE,full_vacuum,150,700,2335
pipe,CS,PTFE,full_vacuum,150,800,2530
pipe,CS,PTFE,full_vacuum,150,900,2725
pipe,CS,PTFE,full_vacuum,150,1000,2920
pipe,CS,PTFE,full_vacuum,150,1100,3115
pipe,CS,PTFE,full_vacuum,150,1200,3310
pipe,CS,PTFE,full_vacuum,150,1300,3505
pipe,CS,PTFE,full_vacuum,150,1400,3700
pipe,CS,PTFE,full_vacuum,150,1500,3895
pipe,CS,PTFE,full_vacuum,150,1600,4090
pipe,CS,PTFE,full_vacuum,150,1700,4285
pipe,CS,PTFE,full_vacuum,150,1800,4480
pipe,CS,PTFE,full_vacuum,150,1900,4675
pipe,CS,PTFE,full_vacuum,150,2000,4870
pipe,CS,PTFE,full_vacuum,150,2100,5065
pipe,CS,PTFE,full_vacuum,150,2200,5260
pipe,CS,PTFE,full_vacuum,150,2300,5455
pipe,CS,PTFE,full_vacuum,150,2400,5650
pipe,CS,PTFE,full_vacuum,150,2500,5845
pipe,CS,PTFE,full_vacuum,150,2600,6040
pipe,CS,PTFE,full_vacuum,150,2700,6235
pipe,CS,PTFE,full_vacuum,150,2800,6430
pipe,CS,PTFE,full_vacuum,150,2900,6625
pipe,CS,PTFE,full_vacuum,150,3000,6820
pipe,CS,PTFE,full_vacuum,200,100,2171.875
pipe,CS,PTFE,full_vacuum,200,150,2376.875
pipe,CS,PTFE,full_vacuum,200,200,2580.625
pipe,CS,PTFE,full_vacuum,200,250,2785.625
pipe,CS,PTFE,full_vacuum,200,300,2989.375
pipe,CS,PTFE,full_vacuum,200,350,3194.375
pipe,CS,PTFE,full_vacuum,200,400,3398.125
pipe,CS,PTFE,full_vacuum,200,450,3603.125
pipe,CS,PTFE,full_vacuum,200,500,3806.875
pipe,CS,PTFE,full_vacuum,200,600,4215.625
pipe,CS,PTFE,full_vacuum,200,700,4624.375
pipe,CS,PTFE,full_vacuum,200,800,5033.125
pipe,CS,PTFE,full_vacuum,200,900,5441.875
pipe,CS,PTFE,full_vacuum,200,1000,5850.625
pipe,CS,PTFE,full_vacuum,200,1100,6259.375
pipe,CS,PTFE,full_vacuum,200,1200,6668.125
pipe,CS,PTFE,full_vacuum,200,1300,7076.875
pipe,CS,PTFE,full_vacuum,200,1400,7485.625
pipe,CS,PTFE,full_vacuum,200,1500,7894.375
pipe,CS,PTFE,full_vacuum,200,1600,8303.125
pipe,CS,PTFE,full_vacuum,200,1700,8711.875
pipe,CS,PTFE,full_vacuum,200,1800,9120.625
pipe,CS,PTFE,full_vacuum,200,1900,9529.375
pipe,CS,PTFE,full_vacuum,200,2000,9938.125
pipe,CS,PTFE,full_vacuum,200,2100,10346.875
pipe,CS,PTFE,full_vacuum,200,2200,10755.625
pipe,CS,PTFE,full_vacuum,200,2300,11164.375
pipe,CS,PTFE,full_vacuum,200,2400,11573.125
pipe,CS,PTFE,full_vacuum,200,2500,11981.875
pipe,CS,PTFE,full_vacuum,200,2600,12390.625
pipe,CS,PTFE,full_vacuum,200,2700,12799.375
pipe,CS,PTFE,full_vacuum,200,2800,13208.125
pipe,CS,PTFE,full_vacuum,200,2900,13616.875
pipe,CS,PTFE,full_vacuum,200,3000,14025.625
pipe,CS,PTFE,full_vacuum,250,100,2913.125
pipe,CS,PTFE,full_vacuum,250,150,3173.75
pipe,CS,PTFE,full_vacuum,250,200,3435
pipe,CS,PTFE,full_vacuum,250,250,3695.625
pipe,CS,PTFE,full_vacuum,250,300,3956.875
pipe,CS,PTFE,full_vacuum,250,350,4217.5
pipe,CS,PTFE,full_vacuum,250,400,4478.75
pipe,CS,PTFE,full_vacuum,250,450,4739.375
pipe,CS,PTFE,full_vacuum,250,500,5000.625
pipe,CS,PTFE,full_vacuum,250,600,5522.5
pipe,CS,PTFE,full_vacuum,250,700,6044.375
pipe,CS,PTFE,full_vacuum,250,800,6566.25
pipe,CS,PTFE,full_vacuum,250,900,7088.125
pipe,CS,PTFE,full_vacuum,250,1000,7610
pipe,CS,PTFE,full_vacuum,250,1100,8131.875
pipe,CS,PTFE,full_vacuum,250,1200,8653.75
pipe,CS,PTFE,full_vacuum,250,1300,9175.625
pipe,CS,PTFE,full_vacuum,250,1400,9697.5
pipe,CS,PTFE,full_vacuum,250,1500,10219.375
pipe,CS,PTFE,full_vacuum,250,1600,10741.25
pipe,CS,PTFE,full_vacuum,250,1700,11263.125
pipe,CS,PTFE,full_vacuum,250,1800,11785
pipe,CS,PTFE,full_vacuum,250,1900,12306.875
pipe,CS,PTFE,full_vacuum,250,2000,12828.75
pipe,CS,PTFE,full_vacuum,250,2100,13350.625
pipe,CS,PTFE,full_vacuum,250,2200,13872.5
pipe,CS,PTFE,full_vacuum,250,2300,14394.375
pipe,CS,PTFE,full_vacuum,250,2400,14916.25
pipe,CS,PTFE,full_vacuum,250,2500,15438.125
pipe,CS,PTFE,full_vacuum,250,2600,15960
pipe,CS,PTFE,full_vacuum,250,2700,16481.875
pipe,CS,PTFE,full_vacuum,250,2800,17003.75
pipe,CS,PTFE,full_vacuum,250,2900,17525.625
pipe,CS,PTFE,full_vacuum,250,3000,18047.5
pipe,CS,PTFE,full_vacuum,300,100,4156.25
pipe,CS,PTFE,full_vacuum,300,150,4525.625
pipe,CS,PTFE,full_vacuum,300,200,4895
pipe,CS,PTFE,full_vacuum,300,250,5265
pipe,CS,PTFE,full_vacuum,300,300,5634.375
pipe,CS,PTFE,full_vacuum,300,350,6003.75
pipe,CS,PTFE,full_vacuum,300,400,6373.125
pipe,CS,PTFE,full_vacuum,300,450,6743.125
pipe,CS,PTFE,full_vacuum,300,500,7112.5
pipe,CS,PTFE,full_vacuum,300,600,7851.25
pipe,CS,PTFE,full_vacuum,300,700,8590
pipe,CS,PTFE,full_vacuum,300,800,9329.375
pipe,CS,PTFE,full_vacuum,300,900,10068.125
pipe,CS,PTFE,full_vacuum,300,1000,10807.5
pipe,CS,PTFE,full_vacuum,300,1100,11546.25
pipe,CS,PTFE,full_vacuum,300,1200,12285.625
pipe,CS,PTFE,full_vacuum,300,1300,13024.375
pipe,CS,PTFE,full_vacuum,300,1400,13763.125
pipe,CS,PTFE,full_vacuum,300,1500,14502.5
pipe,CS,PTFE,full_vacuum,300,1600,15241.25
pipe,CS,PTFE,full_vacuum,300,1700,15980.625
pipe,CS,PTFE,full_vacuum,300,1800,16719.375
pipe,CS,PTFE,full_vacuum,300,1900,17458.75
pipe,CS,PTFE,full_vacuum,300,2000,18197.5
pipe,CS,PTFE,full_vacuum,300,2100,18936.875
pipe,CS,PTFE,full_vacuum,300,2200,19675.625
pipe,CS,PTFE,full_vacuum,300,2300,20414.375
pipe,CS,PTFE,full_vacuum,300,2400,21153.75
pipe,CS,PTFE,full_vacuum,300,2500,21892.5
pipe,CS,PTFE,full_vacuum,300,2600,22631.875
pipe,CS,PTFE,full_vacuum,300,2700,23370.625
pipe,CS,PTFE,full_vacuum,300,2800,24110
pipe,CS,PTFE,full_vacuum,300,2900,24848.75
pipe,CS,PTFE,full_vacuum,300,3000,25588.125
hose_pipe,SS304,PTFE,non_vacuum,25,500,328.75
hose_pipe,SS304,PTFE,non_vacuum,25,1000,391.875
hose_pipe,SS304,PTFE,non_vacuum,25,1500,457.5
hose_pipe,SS304,PTFE,non_vacuum,25,2000,521.875
hose_pipe,SS304,PTFE,non_vacuum,25,2500,625.625
hose_pipe,SS304,PTFE,non_vacuum,25,3000,692.5
hose_pipe,SS304,PTFE,non_vacuum,25,4000,810.625
hose_pipe,SS304,PTFE,non_vacuum,25,5000,905
hose_pipe,SS304,PTFE,non_vacuum,25,6000,1045
hose_pipe,SS304,PTFE,non_vacuum,40,500,480
hose_pipe,SS304,PTFE,non_vacuum,40,1000,549.375
hose_pipe,SS304,PTFE,non_vacuum,40,1500,693.125
hose_pipe,SS304,PTFE,non_vacuum,40,2000,815
hose_pipe,SS304,PTFE,non_vacuum,40,2500,1000
hose_pipe,SS304,PTFE,non_vacuum,40,3000,1136.875
hose_pipe,SS304,PTFE,non_vacuum,40,4000,1331.25
hose_pipe,SS304,PTFE,non_vacuum,40,5000,1495
hose_pipe,SS304,PTFE,non_vacuum,40,6000,1735.625
hose_pipe,SS304,PTFE,non_vacuum,50,500,640.625
